id,text,label,tagging_status
9740,"Salih Beyi tanımıyordum. Kendisi alanında çok iyi bir doktormuş. Okullarını derecelikle bitirmiş. Aklının zekatını verse hepinize artar bile Arif 
Boş yapma",,
9741,ay ben ne iyi kalpli bi kizim kimsenin kötülügünü istemiyorum,,
9742,Gay blue dog,,
9743,"NiMet warns against flood in N/E, S/W",,
9744,elon musk senin götüni sikeyim benim üzerimden bunu geçirmene anayasal hakkımla izin vermiyorum lan,,
9745,"öyle yakışıklı erkekler görüyorum ki, her gördüğümde “bunlar erkekse ben neyim” diye sorguluyorum gahydğniuıvljphsgsmxmsuwhsh",,
9746,"Eşsiz kulüne geldim demiş , Aynen ambleminde maydonoz olan gerçekte 3 ama 5 yıldızımız var len diyip her gün ağlayan , buna rağmen formasında yıldız olmayan saçma rezil tuhaf bir kulübe geldin iyi bok yedin amk keli ",,
9747,"İngiltere Kralı Londra sokaklarında kambur ve çarpık bacaklı şair Pope'yi görüp "" Böyle çarpık yürüyen bu küçük adam bizim ne işimize yarar?"" demiş. Bunu duyan Pope, krala şöyle cevap vermiş:
""Sizi doğru yolda yürütmeye!""",,
9748,"NASIL ÖZLEMİŞİMMMayrıca bi insana bi renk bu kadar mı yakışır
#ROWOON",,
9749,Bugün cani gönülden dinamo Kiev takımına başarılar diliyorum savaştan dolayı ülke için güzel bir moral olur onlara,,
9750,"Adama sorduğunuz o soru ne öyle sakat mısın diye acayip leş bir  insansınız siz ya iğrençsiniz gerçekten 
@trtspor",,
9751,Bunun biliyorum. #akçay senin sevgin #akçaysex olduğunu çok sebebinin iyi,,
9752,""" İnsanların maddi durumları veya sahip oldukları şeyler bugüne kadar hiç ilgimi çekmedi. 
Ben daha çok oturup kalkmasını bilmesine, kültür seviyesine, nezaketli olmasına,vicdanına ve merhametine dikkat ediyorum.
Efendilik ve iyi niyet beni o kadar etkiliyor ki. ""

Frida Kahlo",,
9753,En zor günümde tek başıma kahkaha atmayı başarabildiğimi farkettiğimden beri hiçbir insanın varlığı da yokluğu da umurumda değil. Hayatımdan birileri eksilmiş çokta önemli değil artık. Herkes her şey yolunda güzel.,,
9754,Sabahın köründe havanın berbat durumuna iyi niyet okumalarım...,,
9755,Şifreni unut lan artık beyinsiz ucube,,
9756,Sıcağını ve sıcak kanlı insanları,,
9757,do some people in this fandom really think like this cus I've seen this kind of thing more than I should. Better be a joke cus NO WAY THEY ARE FR,,
9758,"I love MTG arena. https://youtu.be/M6OLkd1VtNE thank you 
@MTG_Arena",,
9759,@SMoazzamQureshi Happy birthday brother! May you have all that you wish for.,,
9760,"CHP İP ve Saadete oy veren Müslüman sen  40 bin vatandaşının kanına giren bu canilere oy veriyorsun.
Yeter artık akıllanın yahu
Gün birlik olma günü bu zalimlere yumruğu vurma günü.",,
9761,"BİR TARAFTA BEN İNSANIM DİYEN BİR SURİYELİ…

BU GENÇ İNSANSA Kİ İNSAN, 
BU GENÇ DELİKANLIYA ÇEMKİRENLER NE?",,
9762,Erdihan Osma yazdı: Niteliksiz Tarımın Sonuçları Kapıya Dayandı https://istiklal.com.tr/kose-yazisi/niteliksiz-tarimin-sonuclari-kapiya-dayandi/702270…,,
9763,"#şiir #edebiyat #sözyüzüdergi

Altını Çizgilerim 
Hazırlayan: Bermal Ceyran 

""Tesbih taneleri ile sayıyorum içeride yılları ve bir de bu çağın şu illet hastalığını, 
sezdirmeden dostlara, yoldaşlara,geçiyorum zulüm kapılarından, acı eşiklerini...""
Halil Güneş / Hapishane Şairi",,
9764,"Yine kitabın ortasından yazmış 
@EmreEfser
 
Ellerine sağlık, fikirlerimize tercüman olmuş!",,
9765,osman (kedim tam uyuyucaz kudurdu yine saga sola kosuyo aferin annecim aynı bana cekmissin kuduruk seni,,
9766,Ülkenin elektrikli otomobil üretimine yatırımı elbette sevindirici fakat isabetli bir yatırım değil. Tüketici bu araçları pek tercih etmiyor. Derhal güneş enerjisi ile çalışan otomobil üretimine başlanmalı. Çabucak.,,
9767,"Ey Suriyeli Genç! Evet sen bir insansın ama maalesef etrafındaki faşist, ırkçı ve merhametsiz olanlar için aynı şeyi söylemek mümkün değil! 

#benbirinsanım",,
9768,igrencsin ciddi anlamda igrenc,,
9769,"#cigli kadına cok Dudaklarını demeyin, Bir #alsancak deyin, oluyorsun asla tatlı sus kapatınca",,
9770,"Pazarınız neşeli ve huzurlu geçsin
Günaydın ",,
9771,"Ben fevri değilim, onlar hadsiz..",,
9772,"Bünye hasret kaldı böyle beleşçi forvete 
#Seferovic",,
9773,"Peki siyaseti kim yapsın? Niteliksiz, litakatsiz, empati, zeka yoksunu insanların?",,
9774,Şu sevgilisi olanlar yazmasın bana aq şerefsizlik yapmayın!!!,,
9775,"Bir hakikat incitsin seni, bir yalan avutacağına.",,
9776,"Kötü insanlar temiz insanlara hep aptal gözü İLE bakıyor ne kaybettiklerini bilseler en ön sırada koşarlar Malesef bilemeden , görmeden anlaman gerekiyor kalp İLE  olacak sevgi İLE merhamet İLE",,
9777,"Fenerbahçe, son 10 yılda Galatasaray’ın bitti dediği 14 ismi resmi olarak açıklamıştır. ",,
9778,o kadar mutlu oldum ki elimden düsmüyor,,
9779,Benimle snap serisi yapmaya istekli insanlar olması çok hoş,,
9780,"RT 
@Maryam_Rajavi
I welcome the Swedish Judiciary’s ruling, and reiterate that the prosecution of Khamenei and Raisi is now more imperative than ever
#PMOIVictory
@RepMcClintock",,
9781,#Ayasofya kararı Türk/İslam karşıtlarına verilmiş isabetli bir siyasi cevaptır. Camileri/kiliseleri kapatıp müze yapmanın hiç bir mantığı olmadığı gibi Ayasofya'da kılınan namazların sevabı diğerlerinden fazla değildir.İslam’ın asıl zaferi Kur'an’ı hayata taşımakla gerçekleşir.,,
9784,"Cemevleriyle tarikatları nasıl kıyas edebilirsin zeka seviyesine bakar mısınız, sana oy verene sana da yazık şu an itibariyle iğrençsin.",,
9785,"Eski takipcilerim bilir ve ben yeni gelen arkadaslarıma cok rica ediyorum özelime cicekler canımlar fıstığım demeler.. bunlar hoş seyler degil.. bi kac gun snr 47 yaş olucam 1 cocuk annesiyim sizlerde olgunsunuz yaşımıza yakışır hareket edelim lütfen.

Hayırlı günler hepinize..",,
9786,Senin yüzünden bozduğum yeminlerin ahı mı çıkıyor,,
9787,"Şeriat’a karşıyım ne demek? ALLAH’a karşıyım demek ALLAHın emirlerine, kanunlarına, buyruklarına ben karşıyım Sen kimsin yahu, ALLAHın yarattığı bir aciz mahluksun ingiliz misin, sen kuran’a nasıl düşman olursun, sen ALLAH’a nasıl düşman olursun M.Esad Coşan

#KemalizmYargılansın",,
9788,"TOGG benim projem dermi?
Utanmaz ki:)
#Devlet",,
9789,"Tünaydın bugün günlerden Pollyanna bardağa dolu tarafından bak .. 

Türkiye de olduğumuz ve Kripto Paralarla - #Bitcoin le ilgilendiğimiz için çok şanslıyız ..

Durgun denizler, yetenekli denizciler yetiştirmez .. ",,
9790,"Sıcak bir gün ve gecenin sabahı kadar serin,temiz ve ferah bir vakit  olamaz.
Ne mutlu sabahı uyanık karşılayıp nasiplenenlere.
#Hayırlısabahlar",,
9791,"Tarihin en iyi fotoğrafı. 

Tarihin en iyi futbolcusu. 
Tarihin en iyi başkanı. 
Tarihin en iyi hocası.
En çok UCL kazanan hoca.

Cristiano Ronaldo Alex Ferguson Carlo Ancelotti Florentino Perez",,
9792,Yazık gerçekten yazık iğrenç pislik bok surat,,
9793,"Siksokcular biraz şerefiniz varsa terkedin ülkeyi yaa, siz dünyaya neden geldiniz ki,bu tiktoku icat eden adamın da amk!",,
9794,taym yine avel bakışlı dörtgöz sinirli poyrazla doldu,,
9795,"Sosyal medyada gördüğümüz her insan sanki birbirinin kopyası.
Hâlbuki farklı olmak insanı farklı kılar.
Yeni dünya düzeni her şeyi israf ediyor ve biz de o çarklarda savruluyoruz.

Ne kadar güçlüysen o kadar dışardasın”",,
9796,"Bir insan ırkını seçemez
Anasını babasını
Kardeşlerini 
Doğduğu yeri seçemez
Suriyede doğmak
Arap olmak
AFFEDİLMEZ GÜNAH!
Sen Daha sperm halindeyken
Hangi hıyarın sülbünden
Hangi kadının rahmine
Düşeceğine
Ve nerede doğacağına
Kararmı  verdin?
Utanmaz herif!
BEN BİR İNSANIM",,
9797,aferin,,
9798,"Kambur duruştan kurtulmak, sağlıklı bir duruşa sahip olmak için yapabileceğiniz egzersizler.",,
9799,"Pis kokuyorsun 
@Hentbol_Fed
 
Kirli ellerini çek #erzurum dan
#hentbol",,
9800,"Yine aynı duygular geldi bastırdı bir anda, kalbim yine ağzımda, ben ne yapayım bu durumda",,
9801,"Uzun bir aradan sonra Memleketine gelen Kiymetli Bakanımız 
@aefakibaba
 'yı karşıladık. Ş.Urfalılar hasretle kıymetlisini bağrına bastı.",,
9802,Temmuz başlı başına müsibet ayısın,,
9803,"@Guldur_Guldur
 @caglarcorumlu
 Tüysüz bamya:))",,
9804,"Bazıları varoş sever,engel olamazsın.
Genel",,
9805,sisko obez bir kedi olup hayatin yukunden kurtulmak icin suan bir(1) bobregimi veririm,,
9806,Kimse kendini vazgeçilmez sanmasın biz bu alemin en karı kız düşkünü. Tek derdi arabayla piyasa yapmak olan dar pantolon sevdalı kekosunu 10 saniyede Gülşen-bir taraf seç şarkısıyla tarihe gömdük,,
9807,Sağlıklı takipleşme  #Sağlıkçıya50Bintakipçi,,
9808,"Adalet  , hak , eşitlik için 
ayrı tutulmamalı ptt ihsli çalışan. 
Kadroya dahil edilmelidir. Sesimizi duyun.#ihsKadroİstiyor",,
9809,"Niteliksiz insanlar ne ölçüde niteliksiz olduklarını fark edemezler.
Niteliksiz insanlar, 
gerçekten nitelikli insanların niteliklerini görüp anlamaktan da acizdirler.",,
9810,#NowPlaying On Air: Wael Kfoury - Wlad El Haram Ahlah on #FastCast4u.com,,
9811,Ya gözünü sevim sal beni velet nolur ya bak böyle yapma hepimizi 26 yerinden bıçaklama buda yürek da,,
9812,"Bekliyorum neredesiniz
#mersin #mezitli #pozcu #erdemli #tarsus",,
9813,"Geçmiş olsun Hocam, acil şifalar olsun",,
9814,"Saygı değer CHP li ve IYI partili arkadaşlarım , akp nin
TÜRKİYE CUMHURİYETİ ne vermiş olduğu zarara  karşı tek yürek  olmalıyız lakin son zamanlarda CHP nin ATATÜRK den uzaklaştığını hdp ye kaydığını IYI partinin ise suriyeli konusunda sessiz kaldığı bir gerçek.",,
9815,"""Biz kendimize haksızlık edersek, herkes eder"" değil mi ?

#günaydın",,
9816,"REPLAY

AGLA TRIBE SHOW

Mental Health: Organized and Improve Productivity. 

https://twitter.com/i/spaces/1yNxaYYmXjVxj…

Share",,
9817,"Türk tabipler birliği başkanlığına  en çok 
Salih SELMAN yakışır...",,
9818,Bütün mucize iddialarının palavradan ibaret olduğunu defalarca anlattık çünkü. Yine de halen bu sözde mucizelerin gerçek olduğunu zanneden yarım akıllı yobazlar çıkıyor tabii ki.,,
9819,Niye herkesi engelliyon la sen sakat mısın ?,,
9820,Ne küsmesi lan daha ne istiyosun okulumuzdan daha iyi bi mekan mı var,,
9821,genel başkanı ülkenin kadınlarına ‘sürtük’ derken çıtı çıkmayan #MustafaVarank ın hanım kız dediği için Kemal Kılıçdaroğlu’na  ‘rezilsin’ demesi iktidar siyasetinin özeti..,,
9822," @coskun_melek
 inde bende tüysüz bamya olarak kayıtlı olduğu doğrudur ",,
9823,İtler sabaha kadar havladıktan sonra gece 24.00 den  sonra müzik yasak olsa ne olur olmasa ne olur? #KöpekSorunu,,
9824,GİDERLERSE GİTSİNLER DİYEN BİR HÖDÜK VAR MIYDI?,,
9825,Bunlar erkekse biz neyiz lan,,
9826,Kimseyee minnet etmemm en cokta buna uyuz oluyosunuz ya zateen,,
9827,Bir kişinin egosu yarım akıllı yalaka avantacılar yüzüden ülkenin düştüğü durum,,
9828,"Değerli dostlar medya hesabımızı takip etmenizi rica ederim 
@muratsahin2O23
 



Hz. Allah (CC) bizleri doğru yoldan ayırmasın ",,
9829,"Bir tatlı hazırlıklar...hep bugün için,çünkü bugün günlerden 
#SeniKalbimeSakladım günü...
#ZeyMer 
#SevdaErginci #EkinMertDaymaz",,
9830,vatanini makarnaya satanları 15 temmuzda gördük biz :) kendi yurdumda köleyim vatanımın bok böceği bile senden kıymetli sen vatansız bir zavallısın buna üzül için yansın,,
9831,"Yarim sigorta,her tatilde kesintilerle asgarinin altina düşürülecek olan maaşlara 5+ 1 getirmek cozum ve mujde değildir.Kalici istihdam ile mujde ve çözüm olur #CBÜcretliÖgrtmata",,
9832,Kinnporsche yazarları tiksiniyorum sizden #บอคดูแลนักเขียนด้วย #KinnPorscheTheseries #KinnPorsche,,
9833,"I agree with dazlak şaman -it is very sad for me, too..",,
9835,"Antik Çağ'dan Rönesans'a; engelliler dağlık ya da ormanlık alanlarda terk edildi ya da öldürüldüler, Roma saraylarında soytarı olarak kullanıldılar, Engizisyon mahkemelerinde boğularak ya da yakılarak öldürüldüler, bebek katili olarak tasvir edildi…",,
9836,Büyüdükçe bi hödük mü olduk ben anlamadım,,
9837,"Bağışlarınızı ; Erkek çocuklarına tecavüz eden Cemaat ve Tarikatlere değil , 
Hayata Umutla bakan SMA’lı çocuklara ve LÖSEV’e bağışlayın 

Allah’da razı olsun , kul da  

#BiAKıllanmadınız 
#tehlikeninfarkındayız",,
9838,"Sabim kapatılsın
Performans yerine tek kalem ödeme
Mhrs randevuları en az 15 dk da bir olsun
Sağlıkta şiddet sona ERSİN
Covid19 meslek hastalığı sayılsın
1.basamak ceza yönetmeliği kalksın
Hekimlik kanunu çıksın

diye
#HekimlerTekYürek
@eryazgan84
 @mrtylmz1972",,
9839,"Anlamadığım bir sey var.
Malum takımın logosunda ki sahte yıldızları koyan Ntv ve Aspor için sadece Galatasaray taraftarı tepkisini dile getiriyor. Beşiktaş, Trabzonspor taraftarı kendi takımlarınında hakkına tecavüz edildiğinin farkında değil mi? 
#NTVBoykot",,
9840,Ne beleşçi milletiz arkadaş. Otobüs Marmaray vapur kilit.,,
9841,Babamın insta profilinde full ben varım hepsini de prensesim güzel kızım yazmış baba senin yüzünden kendimi hep prenses sandım maymun tipimle dışarda ağzıma sıcıyorlwr,,
9842,"I mean... this is just unreal 

The #facebookads analysis by @Varos_com is out there making @Elumynt look REALLY good!",,
9843,"Allah'ım çok sükür
Gece gece cok mutlu oldum
#BKFC 
@bkaracakayaaa",,
9844,Onu da esenyurtta oturan sonradan seküler olup götünü yıkamayı bilmeyen z kuşağı şeysi dert etmesin aq. Alan memnun satan memnun onlara ne?,,
9845,?,,
9846,insanın içindeki boşluk alkışlarla dolmuyor,,
9847,"Çanakkale’den #15Temmuz’a bu aziz vatanı canı pahasına koruyan tüm şehit ve gazilerimize minnettarız. 15 Temmuz Destanı’nın 6’ıncı yılında bir kez daha haykırıyoruz.  
 
Bayrak inmez, ezan dinmez!",,
9848,Orjinal/Hazal & Leyla/Aziz ikili sahnelerini merak bekliyorum. #DuyBeni'nin dizi çiftleri çok iyi olmuş,,
9849,"”Sadece yüzüne bakmak bile yüzümde gülücükler açtırıyor” #2seok

----------------------------  hoseok for seokjin",,
9850,"Karma diye bişi var, sadece ilahi adalet diyorum.",,
9851,"This July, Leonardo DiCaprio and Brad Pitt star together in Quentin Tarantino’s #OnceUponATimeInHollywood.",,
9852,shine de para falan vermedi amk keli cocuk 15 yasinda bi ysrdim edelim falan yok aq soktugum keli,,
9853,"#Galatasaray Kasımpaşa maçında,ilk defa istekli koşan bir takım görüntüsü verdi.Okan hoca takıma hükmetiyor görünümü gördük.Transferler göze hoş geldi. 
İyi 10 numara ve 6 numara transfer edilirse GS dogru yolda diyebiliriz.Lig maçlarından fazla keyif verdi.",,
9854,I really want to drink soy milk. #徐州,,
9855,Yalancı dazlak konuşuyor at palavrayı at,,
9856,Pişkin işte karaya vurmuş balina...:):),,
9857,Helal olsun.  Kırsalarmış ağzını burnunu pisliğin. Böyle bir  ortamda hukuk yoktur hukuka uymak insan haklarına zulüm. Bunun böylesinin beynini burnundan akıtacaksın beyin israfı pislikler,,
9858,Yeni gelin evine gittim kahveyi güzel olsun diye ben yaptım tweet bu kadar,,
9859,Every brand has its cheap copy... As qasim suri has dost mazari...,,
9860,"Sarıdan koyu siyahtan açık kumral desem kumrallara hakaret,bok saçlı at ağızlı karı düşkünü flörtün hayırlı olsun canım benim  sanada bu yakışırdı.. Allah tamamına erdirsin.",,
9861,canım kalite malite bişeyler yazmışsın da içini ben biliyorum rezilsin,,
9862,"Peki Sri Lanka diktatörü ne oldu?Hani Tamil Kaplanlarını ve halkını yok etmekle övünen diktatör ve de ailesi! Onlar çoktan ülkeyi bırakıp kaçtılar.Şimdi kendilerine sığınacak yer arıyorlar. Ne diyelim?Etme bulma dünyası diyorlar!Alma mazlumun ahını,çıkar aheste aheste diyorlar.",,
9863,This is the power of ultra instict,,
9864,aksilikler bazen insaflı davranıp aralıklı da gelebiliyor buna şükür,,
9865,"İlçe Başkanlığımıza ziyarete gelen Sincan Ortopedik Özürlü ve Aileleri Dayanışma Derneği Bşk. Yrd. Bekir Şinik ile Engelli vatandaşlarımızın karşılaştığı sorunları ve çözümlerini konuştuk. Ziyaretleri adına teşekkür ediyor, çalışmalarında başarılar diliyorum.",,
9866,"Rabbim sen EL-ADL'SiN..

Mutlak adil, insaflı, her şeyi yerli yerinde hak ve doğru olan aşırılığa meyletmeyensin. #Cuma",,
9867,C hasan kardeş insanlar ya aklı imanı ile yaratılışgayesiüzerine  yaşar iş icraaryapar Yada İman etmemiş nefislerinin arzu istek ve şevhetlerini tatminetmek İcin calışır didinirler  işte imtihan dünyası denilen arena bu iki insan türünün imtihan yeridir iyi izleyin,,
9868,#oezelcocuklaroetelenmesin. Çünkü yaşam hakkı.,,
9869,"Sen hepimizden daha insansın da biz insan değiliz güzel kardeşim .
Kafatasçılık bizim genimizde var.
Mülteci sorununu yaratan sen değilsin ama gücümüz sana yetiyor.
#BenBirİnsanım",,
9870,Sokaktan 11 kursun 1 tane pencere kirilma sesi geldi semt gibi anani sikeyim adana hürriyet mahallesi sanirsin,,
9871,"Selam olsun Fatsa'ya, Fikri Sönmez'in şehrine.. Bu büyük ve başarılı bir mitingi gerçekleştirenleri, Sol Parti'yi ve emeği geçenleri kutluyorum.",,
9872,"DBB kayyımı Hizbullah'ın açtığı medrese yoluna 'özel asfalt' döktü
http://mezopotamyaajansi35.com/tum-haberler/content/view/177078…",,
9873,"#karşıyaka TATİL, bugün TA  tatil, TİL, #bornova niye?? kalkıyorsun erken Sevgili Niye bugün vücudum",,
9874,Saygı değer öğretmenim kurban bayramın kutlu olsun,,
9875,Barajı kaldırırsan akın akın gelirler tabi #tercih2022,,
9876,"Denizli
Sevecen kızı",,
9877,"Hocam Ümit Özdağ'ın Flash Tv'de programı başladı. İzlemenizi önemle rica ederim.
Saygılarımla...",,
9878,"Birce akalay cesur,yetenekli örnek alınması gerekilen bı kadın. Helal olsun",,
9879,Bi de diyo ki hamburger diyo açık mı kapalı mı diyo. Yayık aq yayık köfteyi marulu ayrı tabaklara koycaz sen birleştiricen,,
9880,Millet aç ulan aç senin yüzünden,,
9881,"I've been distancing myself from tweeting on JCPOA revival talks for a while, mainly because I have no hope for the deal to be revived. The current behavior of the Iranian officials, as well as U.S. imposing sanctions have led to the current state of total disbelief.",,
9882,"Hain köpek, ALLAH'ın adını lağım çukuru olan ağzına alma pis domuz...",,
9883,"Başörtüsünü çıkarmam ile ilgili kötü hiçbir tepki almadım not düşeyim bide yazı yazar mısın röportaj vb. şeylerle geliniyor. Ne yazı yazmak ne de başka bir şey istiyorum.yazarsam buralarda alırım sazı elime ama ben sıradanlaşsın ,umursanmasın istiyorum. Çok şey istemiyorum",,
9884,"Ben harbiden iki yüzlü, karaktersiz insanlara doydum.... O yüzden bana müsaade artık.. Ben baş edemiyorum insan görünümlü çakallarla uğraşmaya... Siz kalın yalanlarınızla,sahte dostluklarınızda boğulun.....Benden bu kadar....",,
9885,bana bişeyi yapamazsın dersen o şeyi izlemek zorunda kalırsın,,
9886,Aynı armamı bak bakayım at kafası,,
9887,"Şapka takınca muasır medenî devletler seviyesine ulaşacağını sanan embesilin dölü, sakallı-fesli görünce, uluslararası ödüllü tıp doktorumuza medeniyyetsiz demiş 
Kendi b.kunu yiyeni Prof sanan medeniyyet özürlü  eziğe haber salın 
Diline doladığı Prof.Dr. Salih Selman 
hoca,",,
9888,zMORİD BENJUVA MIDIR ÖZÜRLÜ OKJLUNDA ANNE SERSMİL ÖĞRETMNİ 1997 DEN BERİ SNNE ÖĞRETMN ÇNKKLE KÖKDNLİ ÖĞRETMN İLHAN KIZI ANNESNNE LAPSRKİ DE OTURUYOR DAYISI DOKTOR BU AYŞE İDİLİ İZMİR LİLER DEN TANIYANLARA DUYURULUR BİLEREK CAN ALDIRACAK CSNİ Mİ SİZLER KARAR VERİN,,
9889,dikkat edin de mens atığınız kişiler sizin arkanızdan baklava vs diyip ssini gruplara düsürmesin benden size tavsiye bu site gerçekten inanılmaz korkunç ve herkes herkesin arkasından dedikodu yapıyor gruplarda hadsiz yorumlar yapılıp yüzünüze gülünüyor bir ablanız olarak görün,,
9890,ay 10 senedir bu sitedeyim şu son bikaç senede burada gördüğümü hiçbir yerde görmedim rezillik ya insanlardan tiksiniyorum artık öyle böyle değil keşke one direction sapık hayal et sayfalarına denk geldiğim zaman sosyal medyayı sonsuza dek terk etseydim de bugünleri görmeseydim,,
9891,"Bir âyet biliyorum. Kazandığımda şımarmama, kaybettiğimde yıkılmama engel oluyor.

""Olur ki bir şey sizin için hayırlı iken siz onu hoş görmezsiniz. Yine olur ki bir şey sizin için kötü iken siz onu seversiniz. Allah bilir, siz bilmezsiniz.""

Bakara/216
#AyetlerAlemeNizamdır",,
9892,Oruspu cocugu,,
9893,"ANAYASA MAHKEMESİ 'nin aldığı Figen Yüksekdağ hakkındaki hak ihlali kararına yapacak tek bir yorum bile yok.
Bu kararı veren hakimler şehitlerimizin kemiklerini sızlatmıştır.
Ahirette yakalarına ilahi adalet yapışacak.
Beşerin adaleti ancak bu kadar olur.",,
9894,sivrisinekler ve erkeklerin kapatilmasi gerektigi kanaatindeyim  sevgiler saygilar iyi geceler,,
9895,"Az kalsın suratım telefona çarpıyordu.
Pislik surat! O telefon kaç para biliyon mu?",,
9896,"Allah'ın cezası kulüp. 29 yaşına gelmiş. Doğru dürüst oynamayan adama, eski kulübünün elinden çıkarmak istediği adama 2.5m€ transfer bedeli vermek nedir?

Yazık vallahi. Gram akıl yok sizde.",,
9897,"Steve Akademi telegram grubuna hergün yeni arkadaşlarımız katılıyor.

Karşılamalarımız ile ismi ile müsemma oluyor :)

Ücretsiz eğitim ve katılım linki sabitlenmiş tweette.",,
9898,Herkes buz gibi soğuk triplerde dkdkdkdkkd,,
9899,"İlçe başkamız Mesut Ekrem, güreşlerin gerçekleşmesinde emeği geçen başta belediye başkanımız Bilal Soykan’a,Güreş ağamız Mehmet Öztürk’e ve diğer emeği geçenlere canı gönülden teşekkür etti.
#AkbalıkYağlıGüreşleri",,
